NR CRT,NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
1024,"Spitalul Județean","Strada Stadionului Sfântu Gheorghe","Hospital","N/A","Sibiu",45.86461,25.77878,0
1025,"Spitalul Municipal Câmpulung Muscel","Strada Costea 115100 Câmpulung","Hospital","N/A","Sibiu",45.26637,25.03777,0
1026,"Spitalul de Pneumoftiziologie","Aleea Filozofilor 550196 Sibiu","Hospital","N/A","Sibiu",45.79478,24.14256,0
1027,"Spitalul Județean de Urgență Vâlcea","Calea Lui Traian Râmnicu Vâlcea","Hospital","N/A","Sibiu",45.11881,24.36343,0
1028,"Spitalul Municipal Sighișoara","Strada Zaharia Boiu 545400 Sighișoara","Hospital","N/A","Sibiu",46.2208,24.78403,0
1029,"Spitalul de Urgență Petroșani","Strada 1 Decembrie 1918 Petroșani","Hospital","N/A","Sibiu",45.40799,23.37566,0
1030,"Spitalul Orășenesc Cisnădie","Strada Băilor 555300 Cisnădie","Hospital","N/A","Sibiu",45.70878,24.14503,0
1031,"Spitalul de Urgentă Profesor Doctor Dimitrie Gerota","Strada Panduri 105500 Bușteni","Hospital","Pe 23 februarie va avea loc o ?nt?lnire a wikipedi?tilor din zona Moldovei ?n Ia?i. Detalii ?i ?nscrieri ?n pagina ?nt?lnirii.","Sibiu",45.4015,25.54033,0
1032,"Spitalul de Psihiatrie și Neurologie Brașov","Strada Prundului 500123 Brașov","Hospital","Agnita (Romanian pronunciation:?[a??nita] (listen); German: Agnetheln; Hungarian: Szent?gota; Transylvanian Saxon dialect: Ongen?tlen) is a town on the H?rtibaciu river in Sibiu County, Transylvania, central Romania. It is considered the locality in the center of the country. The town administers two villages, Cove? (K?bisch; ?gotak?vesd) and Ruja (Roseln; Rozsonda).","Sibiu",45.63825,25.58511,0
1033,"Spitalul Județean de Urgență Pitești","Strada Negru Vodă Pitești","Hospital","N/A","Sibiu",44.86644,24.85997,0
1034,"Slimnic.","Sibiu, Romania","Attraction","Pe 23 februarie va avea loc o întâlnire a wikipediștilor din zona Moldovei în Iași. Detalii și înscrieri în pagina întâlnirii.","Sibiu",45.64035705882353,24.858142941176464,0
1035,"Agnita","Sibiu","City, Town or Village","Agnita (Romanian pronunciation: [aɡˈnita] (listen); German: Agnetheln; Hungarian: Szentágota; Transylvanian Saxon dialect: Ongenîtlen) is a town on the Hârtibaciu river in Sibiu County, Transylvania, central Romania. It is considered the locality in the center of the country. The town administers two villages, Coveș (Käbisch; Ágotakövesd) and Ruja (Roseln; Rozsonda).","Sibiu",45.97583,24.62725,0
1036,"Primăria Agnita","DJ106 555100 Agnita","Government or Community Facility","N/A","Sibiu",45.9755,24.62121,0
1037,"Wish Agnita","Strada Mihai Viteazul 6 555100 Agnita","Going Out","N/A","Sibiu",45.97557,24.62129,0
1038,"Poliția Agnita","Strada Mihai Viteazul 555100 Agnita","Police Station","N/A","Sibiu",45.97542,24.6232,0
1039,"Oficiu Poștal Agnita","Strada Mihai Viteazul 555100 Agnita","Post Office","Agnita (Romanian pronunciation:?[a??nita] (listen); German: Agnetheln; Hungarian: Szent?gota; Transylvanian Saxon dialect: Ongen?tlen) is a town on the H?rtibaciu river in Sibiu County, Transylvania, central Romania. It is considered the locality in the center of the country. The town administers two villages, Cove? (K?bisch; ?gotak?vesd) and Ruja (Roseln; Rozsonda).","Sibiu",45.9754,24.62369,0
1040,"Baum Agnita","Strada Piața Republicii 17 555100 Agnita","Bar/Pub","cauta produse precum bere, tv, mobila, scutece","Sibiu",45.97524,24.62179,0
1041,"Outlet Store Agnita","Strada Bisericii 555100 Agnita","Shop","N/A","Sibiu",45.97338,24.62843,0
1042,"Agnita","Strada Constantin Brâncoveanu Giurgiu","Kiosk/24-7/Convenience Store","Agnita (Romanian pronunciation: [aɡˈnita] (listen); German: Agnetheln; Hungarian: Szentágota; Transylvanian Saxon dialect: Ongenîtlen) is a town on the Hârtibaciu river in Sibiu County, Transylvania, central Romania. It is considered the locality in the center of the country. The town administers two villages, Coveș (Käbisch; Ágotakövesd) and Ruja (Roseln; Rozsonda).","Sibiu",43.907855,25.975722,0
1043,"Ladoipasi 1 Decembrie Agnita","Strada 1 Decembrie 22 Agnita","Food & Drink","cauta produse precum bere, tv, mobila, scutece","Sibiu",45.97529,24.62423,0
1044,"Agnita Materiale de Construcții","Strada Înfrățirii 315100 Chișineu-Criș","DIY/garden centre","N/A","Sibiu",46.52857,21.522,0
1045,"Strada Agnita","060573 Bucharest","Street or Square","N/A","Sibiu",44.46511,26.03263,0
1046,"Make-Up Artist Anita","Strada Ștefan cel Mare 505600 Săcele","Service","Agnita (Romanian pronunciation:?[a??nita] (listen); German: Agnetheln; Hungarian: Szent?gota; Transylvanian Saxon dialect: Ongen?tlen) is a town on the H?rtibaciu river in Sibiu County, Transylvania, central Romania. It is considered the locality in the center of the country. The town administers two villages, Cove? (K?bisch; ?gotak?vesd) and Ruja (Roseln; Rozsonda).","Sibiu",45.620691,25.696454,0
1047,"Pensiunea Anita","Strada Magnoliei 7 335500 Hațeg","Accommodation","Cârţa (also Cârţa Săsească; German: Kerz; Hungarian: Kerc) is a commune in Sibiu County, Transylvania, Romania. It is composed of two villages, C?r?a and Poieni?a (Konradsdorf; Ol?hty?kos).","Sibiu",45.60494,22.9393,0
1048,"Floraria Anita","Strada Republicii 13 605200 Comănești","Going Out","Cârţa (also Cârţa Săsească; German: Kerz; Hungarian: Kerc) is a commune in Sibiu County, Transylvania, Romania. It is composed of two villages, C?r?a and Poieni?a (Konradsdorf; Ol?hty?kos).","Sibiu",46.421597,26.437914,0
1049,"Agnita.","Sibiu, Romania","Attraction","Agnita (Romanian pronunciation: [aɡˈnita] (listen); German: Agnetheln; Hungarian: Szentágota; Transylvanian Saxon dialect: Ongenîtlen) is a town on the Hârtibaciu river in Sibiu County, Transylvania, central Romania. It is considered the locality in the center of the country. The town administers two villages, Coveș (Käbisch; Ágotakövesd) and Ruja (Roseln; Rozsonda).","Sibiu",45.73931378571428,24.685364999999997,0
1050,"Cârța","Sibiu","City, Town or Village","Cârța (also Cârța Săsească; German: Kerz; Hungarian: Kerc) is a commune in Sibiu County, Transylvania, Romania. It is composed of two villages, Cârța and Poienița (Konradsdorf; Oláhtyúkos).","Sibiu",45.78471,24.56898,0
1051,"Cârța","Harghita","City, Town or Village","Cârța (also Cârța Săsească; German: Kerz; Hungarian: Kerc) is a commune in Sibiu County, Transylvania, Romania. It is composed of two villages, Cârța and Poienița (Konradsdorf; Oláhtyúkos).","Sibiu",46.53387,25.75991,0
1052,"The abbey of Cârța","Sibiu, Romania","Attraction","The Cârța Monastery /ˈkɨrʦa/ is a former Cistercian (Benedictine) monastery in the Țara Făgărașului region in southern Transylvania in Romania, currently an Evangelical Lutheran church belonging to the local Saxon community. It lies on the left bank of the Olt River, between the cities of Sibiu and Făgăraș, close to the villages of Cârța (German Kerz, Hungarian: Kerc) and Cârțișoara (German: Kleinkerz). The monastery was probably founded in 1202–1206 by monks from Igriș Abbey (daughter house of Pontigny Abbey), and was disbanded in 1494, when the apostolic legate Ursus of Ursinis ratified Cârța Abbey's attachment to the Provostship nullius of Sibiu. The Cistercian monastery introduced and helped develop French Gothic art in the region.","Sibiu",46.15929,25.164445,0
1053,"The Făgăraș Mountains.","Sibiu, Romania","Attraction","Făgăraș Mountains (Romanian: Munții Făgărașului [ˈmunt͡sij fəɡəˈraʃuluj] , Hungarian: Fogaras hegység [ˈfoɡɒrɒʃ hɛɟˈʃeːɡ]), are the highest mountains of the Southern Carpathians, in Romania. The highest peaks are:","Sibiu",0,0,0
1054,"Vila Balea - Transfagarasan","Transfăgărășan 117040 Arefu","Tourist Information","N/A","Sibiu",45.564495,24.609983,0
1055,"Pensiunea Balea","Transfăgărășan 557075 Cârțișoara","Accommodation","N/A","Sibiu",45.680347,24.576855,0
1056,"Vila Balea","Transfăgărășan 117040 Arefu","Hotel","N/A","Sibiu",45.447751,24.62345,0
1057,"Complex Balea Transfagarasan","Transfăgărășan 557075 Cârțișoara","Hotel","Negoiu Peak (Romanian: Vârful Negoiu pronounced?[ne??oju]) is a mountain peak in the F?g?ra? Mountains of the Southern Carpathians, being located in Sibiu County, Romania, with an elevation of 2,535 metres (8,317?ft).[1] It is the second highest peak in Romania after Moldoveanu Peak (2544m).","Sibiu",45.72918,24.573894,0
1058,"Baleabus - Transfers To Transfagarasan and Balea Lake","Piața Mare 12 550163 Sibiu","Tourist Information","N/A","Sibiu",45.79653,24.15249,0
1059,"The Bâlea Valley and the Transfăgărășan.","Sibiu, Romania","Attraction","N/A","Sibiu",45.64366059999999,24.507334399999998,0
1060,"The Negoiu Peak.","Sibiu, Romania","Attraction","Negoiu Peak (Romanian: Vârful Negoiu pronounced [neˈɡoju]) is a mountain peak in the Făgăraș Mountains of the Southern Carpathians, being located in Sibiu County, Romania, with an elevation of 2,535 metres (8,317 ft).[1] It is the second highest peak in Romania after Moldoveanu Peak (2544m).","Sibiu",0,0,0
1061,"Păltiniș mountain resort and the Cindrel Mountains.","Sibiu, Romania","Attraction","Suceava (Romanian:?[su?t??e?ava]) is the largest city and the seat of Suceava County, situated in the historical region of Moldavia, north-eastern Romania[4], and at the crossroads of Central and Eastern Europe respectively.[5] During the late Middle Ages, more specifically from 1388 to 1564, the city was the third capital of the Principality of Moldavia.[6][7]","Sibiu",0,0,0
1062,"Ocna Sibiului, Bazna and Miercurea Sibiului Spa towns.","Sibiu, Romania","Attraction","N/A","Sibiu",0,0,0
1063,"The Mărginimea Sibiului rural area.","Sibiu, Romania","Attraction","Mărginimea Sibiului (Hungarian: Szeben-Hegyalja) is an area which comprises 18 Romanian localities in the south-western part of the Sibiu County, in southern Transylvania, all of them having a unique ethnological, cultural, architectural, and historical heritage.","Sibiu",0,0,0
1064,"The city of Suceava with its medieval fortifications;","Suceava, Romania","Attraction","Suceava (Romanian: [suˈt͡ʃe̯ava]) is the largest city and the seat of Suceava County, situated in the historical region of Moldavia, north-eastern Romania[4], and at the crossroads of Central and Eastern Europe respectively.[5] During the late Middle Ages, more specifically from 1388 to 1564, the city was the third capital of the Principality of Moldavia.[6][7]","Suceava",0,0,0
1065,"The Painted churches of northern Moldavia and their monasteries:","Suceava, Romania","Attraction","The Putna monastery (Romanian: M?n?stirea Putna) is a Romanian Orthodox monastery, one of the most important cultural, religious [1] and artistic centers established in medieval Moldavia; as with many others, it was built and dedicated by Stephen the Great. Putna was founded on the lands perambulated by the Putna (which has its source in the Obcina Mare mountains, Bukovina). Stephen the Great is famous for building and influencing the building of dozens of churches and monasteries all over Moldavia (allegedly, he founded a religious edifice after each important military victory). The Putna Monastery houses the tombs of Stephen ?nowadays, a place of pilgrimage ?, and several of his family members. The icon veils and tombstones are held as fine examples of Moldavian art in Stephen the Great?s time.","Suceava",0,0,0
1066,"The Voroneț Monastery;","Suceava, Romania","Attraction","The Voroneț Monastery is a medieval monastery in the Romanian village of Voroneț, now a part of the town Gura Humorului. It is one of the famous painted monasteries from southern Bukovina, in Suceava County.[1] The monastery was constructed by Stephen the Great in 1488 over a period of 3 months and 3 weeks to commemorate the victory at Battle of Vaslui. Often known as the undefinedSistine Chapel of the Eastundefined, the frescoes at Voroneț feature an intense shade of blue known in Romania as undefinedVoroneț blue.undefined[1]","Suceava",0,0,0
1067,"Putna Monastery","Strada Principală 727455 Putna","Religious Place","The Putna monastery (Romanian: Mănăstirea Putna) is a Romanian Orthodox monastery, one of the most important cultural, religious [1] and artistic centers established in medieval Moldavia; as with many others, it was built and dedicated by Stephen the Great. Putna was founded on the lands perambulated by the Putna (which has its source in the Obcina Mare mountains, Bukovina). Stephen the Great is famous for building and influencing the building of dozens of churches and monasteries all over Moldavia (allegedly, he founded a religious edifice after each important military victory). The Putna Monastery houses the tombs of Stephen —nowadays, a place of pilgrimage —, and several of his family members. The icon veils and tombstones are held as fine examples of Moldavian art in Stephen the Great’s time.","Suceava",47.86606,25.59665,0
1068,"The Putna Monastery;","Suceava, Romania","Attraction","The Putna monastery (Romanian: Mănăstirea Putna) is a Romanian Orthodox monastery, one of the most important cultural, religious [1] and artistic centers established in medieval Moldavia; as with many others, it was built and dedicated by Stephen the Great. Putna was founded on the lands perambulated by the Putna (which has its source in the Obcina Mare mountains, Bukovina). Stephen the Great is famous for building and influencing the building of dozens of churches and monasteries all over Moldavia (allegedly, he founded a religious edifice after each important military victory). The Putna Monastery houses the tombs of Stephen —nowadays, a place of pilgrimage —, and several of his family members. The icon veils and tombstones are held as fine examples of Moldavian art in Stephen the Great’s time.","Suceava",47.86606,25.59665,0
1069,"The Moldovița Monastery;","Suceava, Romania","Attraction","The Moldovița Monastery (Romanian: Mânăstirea Moldovița) is a Romanian Orthodox monastery situated in the commune of Vatra Moldoviței, Suceava County, Moldavia, Romania. The Monastery of Moldovița was built in 1532 by Petru Rareș, who was Stephen III of Moldavia's illegitimate son. It was founded as a protective barrier against the Muslim Ottoman conquerors from the East.","Suceava",0,0,0
1070,"Sucevita Monastery","Calea Bucovinei 725100 Câmpulung Moldovenesc","Religious Place","Sucevița Monastery is an Eastern Orthodox convent situated in the Northeastern part of Romania. It is situated near the Suceviţa River, in the village Sucevița, 18 km away from the city of Rădăuţi, Suceava County. It is located in the southern part of the historical region of Bukovina (northwestern Moldavia). It was built in 1585 by Ieremia Movilă, Gheorghe Movilă and Simion Movilă.[1]","Suceava",47.52208,25.58354,0
1071,"Sucevița Monastery","DN17A 727510 Sucevița","Religious Place","Sucevița Monastery is an Eastern Orthodox convent situated in the Northeastern part of Romania. It is situated near the Suceviţa River, in the village Sucevița, 18 km away from the city of Rădăuţi, Suceava County. It is located in the southern part of the historical region of Bukovina (northwestern Moldavia). It was built in 1585 by Ieremia Movilă, Gheorghe Movilă and Simion Movilă.[1]","Suceava",47.77838,25.70975,0
1072,"The Sucevita Monastery;","Suceava, Romania","Attraction","Sucevița Monastery is an Eastern Orthodox convent situated in the Northeastern part of Romania. It is situated near the Suceviţa River, in the village Sucevița, 18 km away from the city of Rădăuţi, Suceava County. It is located in the southern part of the historical region of Bukovina (northwestern Moldavia). It was built in 1585 by Ieremia Movilă, Gheorghe Movilă and Simion Movilă.[1]","Suceava",47.65023,25.646645,0
1073,"The Bogdana Monastery from Rădăuți;","Suceava, Romania","Attraction","Bogdana Monastery is a Romanian Orthodox monastery in the town of Rădăuți, northern Romania. Its church is the oldest still standing religious building in Moldavia[citation needed]. The monastery was built by Bogdan I of Moldavia (1359–1365) somewhere around 1360.","Suceava",0,0,0
1074,"The Humor Monastery;","Suceava, Romania","Attraction","Humor Monastery located in Mănăstirea Humorului, about 5 km north of the town of Gura Humorului, Romania. It is a monastery for nuns dedicated to the Dormition of Virgin Mary, or Theotokos. It was constructed in 1530 by Voievod Petru Rareş and his chancellor Teodor Bubuiog. The monastery was built over the foundation of a previous monastery that dated from around 1415. The Humor monastery was closed in 1786 and was not reopened until 1990.","Suceava",0,0,0
1075,"Arbore Monastery","DN2K 727015 Arbore","Religious Place","The Dragomirna Monastery was built during the first three decades of the 17th century, 15?km from Suceava, in Mitocu Dragomirnei commune. It is the tallest medieval monastery in northern Moldavia and renowned in Orthodox architecture for its unique proportions and intricate details, mostly carved into stone. It lies among forested hills of fir and oak. The history of the monastery started in 1602, when the small church in the graveyard was built and dedicated to Saints Enoch, Elijah and John the Theologian. In 1609 the dedication of the larger church was made to the Descent of the Holy Spirit.","Suceava",47.729325,25.917061,0
1076,"The Arbore Monastery;","Suceava, Romania","Attraction","The Dragomirna Monastery was built during the first three decades of the 17th century, 15?km from Suceava, in Mitocu Dragomirnei commune. It is the tallest medieval monastery in northern Moldavia and renowned in Orthodox architecture for its unique proportions and intricate details, mostly carved into stone. It lies among forested hills of fir and oak. The history of the monastery started in 1602, when the small church in the graveyard was built and dedicated to Saints Enoch, Elijah and John the Theologian. In 1609 the dedication of the larger church was made to the Descent of the Holy Spirit.","Suceava",47.729325,25.917061,0
1077,"The Probota Monastery;","Suceava, Romania","Attraction","Probota Monastery (Romanian: Mănăstirea Probota) is a Romanian Orthodox monastery in Probota village, Dolhasca town, Suceava County, Romania. Built in 1530, with Peter IV Rareș as ktitor, it is one of eight buildings that make up the churches of Moldavia UNESCO World Heritage Site,[1] and is also listed as a historic monument by the country's Ministry of Culture and Religious Affairs.[2]","Suceava",0,0,0
1078,"Dragomirna Monastery","727366 Mitocu Dragomirnei","Religious Place","The Dragomirna Monastery was built during the first three decades of the 17th century, 15 km from Suceava, in Mitocu Dragomirnei commune. It is the tallest medieval monastery in northern Moldavia and renowned in Orthodox architecture for its unique proportions and intricate details, mostly carved into stone. It lies among forested hills of fir and oak. The history of the monastery started in 1602, when the small church in the graveyard was built and dedicated to Saints Enoch, Elijah and John the Theologian. In 1609 the dedication of the larger church was made to the Descent of the Holy Spirit.","Suceava",47.75795,26.229885,0
1079,"The Dragomirna Monastery;","Suceava, Romania","Attraction","The Dragomirna Monastery was built during the first three decades of the 17th century, 15 km from Suceava, in Mitocu Dragomirnei commune. It is the tallest medieval monastery in northern Moldavia and renowned in Orthodox architecture for its unique proportions and intricate details, mostly carved into stone. It lies among forested hills of fir and oak. The history of the monastery started in 1602, when the small church in the graveyard was built and dedicated to Saints Enoch, Elijah and John the Theologian. In 1609 the dedication of the larger church was made to the Descent of the Holy Spirit.","Suceava",47.75795,26.229885,0
1080,"The medieval salt mine of Cacica;","Suceava, Romania","Attraction","The following 8 files are in this category, out of 8 total.","Suceava",0,0,0
1081,"Vatra Dornei","Suceava","City, Town or Village","Vatra Dornei (Romanian pronunciation: [ˌvatra ˈdornej]; German: Dorna-Watra; Hungarian: Dornavátra) is a city in Suceava County, north-eastern Romania. It is situated in the historical region of Bukovina. Vatra Dornei is the fifth largest urban settlement in the county, with a population of 13,659 inhabitants, according to the 2011 census. It was declared a municipality in 2000, being the newest and smallest municipality in the county. The city administers three villages: Argestru, Roșu and Todireni. Vatra Dornei is a well known spa and ski resort in the Carpathian Mountains.","Suceava",47.34705,25.3593,0
1082,"Primaria Vatra Dornei","Strada Mihai Eminescu 725700 Vatra Dornei","Government or Community Facility","N/A","Suceava",47.34739,25.35584,0
1083,"Gara Vatra Dornei","Strada Dornelor 725700 Vatra Dornei","Railway Station","The following 8 files are in this category, out of 8 total.","Suceava",47.34636,25.35673,0
1084,"Gara Vatra Dornei","DN17 725700 Vatra Dornei","Railway Station","The following 8 files are in this category, out of 8 total.","Suceava",47.35262,25.35822,0
1085,"Autogara Vatra Dornei","Strada Oborului 725700 Vatra Dornei","Public Transport","N/A","Suceava",47.34568,25.36055,0
1086,"Strada Vatra Dornei","Bucharest","Street or Square","N/A","Suceava",44.38499,26.11382,0
1087,"Judecatoria Vatra Dornei","Strada Mihai Eminescu 725700 Vatra Dornei","Government or Community Facility","N/A","Suceava",47.34745,25.35681,0
1088,"Politia Vatra Dornei","Strada Unirii 725700 Vatra Dornei","Police Station","N/A","Suceava",47.3434,25.35898,0
1089,"Strada Vatra Dornei","077145 Pantelimon","Street or Square","Lake Bucura is a glacier cirque lake, situated in the Retezat Mountains, in Romania. It is located south of the main ridge, at the base of Peleaga Peak, and at an altitude of about 2,040 m.","Suceava",44.44176,26.21988,0
1090,"Casa di David","Strada Gării 725700 Vatra Dornei","Accommodation","1000 de hoteluri in Romania","Suceava",47.34679,25.35665,0
1091,"Strada Vatra Dornei","077090 Domnești","Street or Square","N/A","Suceava",44.39628,25.93394,0
1092,"Bucura","Strada Păcii 725700 Vatra Dornei","Sport Facility/Venue","Lake Bucura is a glacier cirque lake, situated in the Retezat Mountains, in Romania. It is located south of the main ridge, at the base of Peleaga Peak, and at an altitude of about 2,040 m.","Suceava",47.34261,25.35359,0
1093,"Autoturist Vatra Dornei","Calea Transilvaniei 725700 Vatra Dornei","Restaurant","1000 de hoteluri in Romania","Suceava",47.347292,25.324664,0
1094,"Iubesc Vatra Dornei","Strada Mihai Eminescu 725700 Vatra Dornei","Landmark/Attraction","N/A","Suceava",47.34727,25.35478,0
1095,"Casa Alexiana Vatra Dornei","Strada Molidului 28 725700 Vatra Dornei","Hotel","N/A","Suceava",47.34411,25.33649,0
1096,"Black Hill - Vatra Dornei","Strada Negrești 725700 Vatra Dornei","Restaurant","N/A","Suceava",47.33859,25.34446,0
1097,"The Vatra Dornei resort;","Suceava, Romania","Attraction","N/A","Suceava",46.794977624999994,25.490294000000002,0
1098,"The cities and towns of Rădăuți, Fălticeni, Câmpulung Moldovenesc, Gura Humorului, and Siret.","Suceava, Romania","Attraction","N/A","Suceava",0,0,0
1099,"The city of Alexandria.","Teleorman, Romania","Attraction","Timi?oara North railway station is the main railway station in Timi?oara, Romania.","Teleorman",0,0,0
1100,"Fishing on the Danube and other lakes or ponds.","Teleorman, Romania","Attraction","N/A","Teleorman",0,0,0
1101,"Timisoara (Timișoara)","Timiș","City, Town or Village","N/A","Timiș",45.75343,21.22333,0
1102,"Timișoara Nord","Bulevardul Republicii Timișoara","Railway Station","Timișoara North railway station is the main railway station in Timișoara, Romania.","Timiș",45.75045,21.20775,0
1103,"Timisoara International Airport","Strada Aeroport 307200 Ghiroda","Airport","N/A","Timiș",45.80886,21.32007,0
1104,"Iulius Mall","Strada Aristide Demetriade Timișoara","Shopping Centre","N/A","Timiș",45.76592,21.23044,0
1105,"Bulevardul Timișoara","060941 Bucharest","Street or Square","N/A","Timiș",44.42715,26.03153,0
1106,"Timișoara","Strada Proclam. de La Timișoara 5 300054 Timișoara","Tourist Information","N/A","Timiș",45.75593,21.23119,0
1107,"Timișoara Est","Strada Mihail Kogălniceanu Timișoara","Railway Station","N/A","Timiș",45.76652,21.24445,0
1108,"Primăria Municipiului Timișoara","Bulevardul Constantin D. Loga 1 Timișoara","Government or Community Facility","N/A","Timiș",45.75113,21.22656,0
1109,"Strada Timișoara","550130 Sibiu","Street or Square","N/A","Timiș",45.80192,24.13889,0
1110,"Gara de Sud Timișoara","Strada Ceferiștilor 300517 Timișoara","Railway Station","Lugoj (Romanian pronunciation:?[?lu?o?]) is a city in Timi? County, Banat, western Romania. The Timi? River divides the city into two halves, the so-called Romanian Lugoj that spreads on the right bank and the German Lugoj on the left bank. It is the seat of the Eparchy of Lugoj in the Romanian Church United with Rome, Greek-Catholic. The city administers two villages, M?guri and Tapia.","Timiș",45.7162,21.20316,0
1111,"North Star Continental Resort","Bulevardul Revoluției din 1989 3 Timișoara","Casino","N/A","Timiș",45.755175,21.232547,0
1112,"Timișoara","Timiș, Romania","Attraction","Lugoj (Romanian pronunciation:?[?lu?o?]) is a city in Timi? County, Banat, western Romania. The Timi? River divides the city into two halves, the so-called Romanian Lugoj that spreads on the right bank and the German Lugoj on the left bank. It is the seat of the Eparchy of Lugoj in the Romanian Church United with Rome, Greek-Catholic. The city administers two villages, M?guri and Tapia.","Timiș",45.64115318181818,21.935447000000003,0
1113,"Lugoj","Timiș","City, Town or Village","Lugoj (Romanian pronunciation: [ˈluɡoʒ]) is a city in Timiș County, Banat, western Romania. The Timiș River divides the city into two halves, the so-called Romanian Lugoj that spreads on the right bank and the German Lugoj on the left bank. It is the seat of the Eparchy of Lugoj in the Romanian Church United with Rome, Greek-Catholic. The city administers two villages, Măguri and Tapia.","Timiș",45.68493,21.90599,0
1114,"Primaria Lugoj","DN6 4 Lugoj","Government or Community Facility","N/A","Timiș",45.68633,21.90625,0
1115,"Lugoj","Strada Ceferiștilor 305500 Lugoj","Railway Station","Lugoj (Romanian pronunciation: [ˈluɡoʒ]) is a city in Timiș County, Banat, western Romania. The Timiș River divides the city into two halves, the so-called Romanian Lugoj that spreads on the right bank and the German Lugoj on the left bank. It is the seat of the Eparchy of Lugoj in the Romanian Church United with Rome, Greek-Catholic. The city administers two villages, Măguri and Tapia.","Timiș",45.680113,21.897225,0
1116,"Strada Centura Lugojului","305500 Lugoj","Street or Square","N/A","Timiș",45.71095,21.91199,0
1117,"Lugojel","Gavojdia","Administrative Region","N/A","Timiș",45.6651,21.95537,0
1118,"Lugoj Taxi","Strada Cornet 22 305500 Lugoj","Tourist Information","N/A","Timiș",45.69752,21.89976,0
1119,"Lugoj Tuning","Strada Memorandului 2 305500 Lugoj","Business/Industry","N/A","Timiș",45.68051,21.9052,0
1120,"Strada Lugoj","012212 Bucharest","Street or Square","Recent selectate:","Timiș",44.45478,26.06762,0
1121,"Poliția Lugoj","Piața Iosif Constantin Drăgan 1 Lugoj","Police Station","N/A","Timiș",45.68511,21.90486,0
1122,"Fit Lugoj","Strada Bucegi 2 305500 Lugoj","Sport Facility/Venue","N/A","Timiș",45.68303,21.90161,0
1123,"Termopane Lugoj","Strada Cetatea Veche Lugoj","Department Store","Recent selectate:","Timiș",45.68876,21.90308,0
1124,"Powergym Lugoj","Strada Nicolae Bălcescu 1 305500 Lugoj","Sport Facility/Venue","Buzia? is a town in Timi? County, Romania. As of 2011, it had a population of 6,504.","Timiș",45.68314,21.90334,0
1125,"Merceria Lugoj","Strada Unirii 305500 Lugoj","Shop","N/A","Timiș",45.68426,21.90469,0
1126,"Lugoj","Timiș, Romania","Attraction","Lugoj (Romanian pronunciation: [ˈluɡoʒ]) is a city in Timiș County, Banat, western Romania. The Timiș River divides the city into two halves, the so-called Romanian Lugoj that spreads on the right bank and the German Lugoj on the left bank. It is the seat of the Eparchy of Lugoj in the Romanian Church United with Rome, Greek-Catholic. The city administers two villages, Măguri and Tapia.","Timiș",45.59111792307693,22.228229615384617,0
1127,"Buziaș Resort.","Timiș, Romania","Attraction","Buziaș is a town in Timiș County, Romania. As of 2011, it had a population of 6,504.","Timiș",0,0,0
1128,"Castles at Banloc and Carani.","Timiș, Romania","Attraction","N/A","Timiș",0,0,0
1129,"The area around Făget.","Timiș, Romania","Attraction","Făget (Romanian pronunciation: [fəˈdʒet]) is a town in Timiș County, Banat, western Romania, with a population of about 6,500.","Timiș",0,0,0
1130,"Danube Delta","827040 Ceatalchioi","Theme Park","The Danube Delta (Romanian: Delta Dunării pronounced [ˈdelta ˈdunərij] (listen); Ukrainian: Дельта Дунаю, Deľta Dunayu, Ukrainian pronunciation: [dɛlʲˈtɑ dunɑˈju]) is the second largest river delta in Europe, after the Volga Delta, and is the best preserved on the continent.[2] The greater part of the Danube Delta lies in Romania (Tulcea County). Its approximate surface area is 4,152 km2 (1,603 sq mi), of which 3,446 km2 (1,331 sq mi) is in Romania. With the lagoons of Razim–Sinoe (1,015 km2 (392 sq mi) with 865 km2 (334 sq mi) water surface), located south of the main delta, the total area of the Danube Delta is 5,165 km2 (1,994 sq mi). The Razim–Sinoe lagoon complex is geologically and ecologically related to the delta proper and the combined territory is listed as a World Heritage Site.","Tulcea",45.244192,28.868332,0
1131,"Danube Delta Biosphere Reserve","827171 Nufăru","Recreation","N/A","Tulcea",45.15536,28.91995,0
1132,"The Danube Delta Museum","Strada 14 Noiembrie 1 820009 Tulcea","Museum","N/A","Tulcea",45.181003,28.806157,0
1133,"Danube Delta Hostel","Strada Gării 820164 Tulcea","Hostel","N/A","Tulcea",45.179093,28.800395,0
1134,"Danube Delta Resort","DC7 827060 Crișan","Hotel","N/A","Tulcea",45.17442,29.38086,0
1135,"Viziteaza Delta Dunarii - Visit Danube Delta","Calea Plevnei 145 060012 București","Landmark/Attraction","N/A","Tulcea",44.445065,26.066543,0
1136,"Select Tours Danube Delta","Strada Gării 820164 Tulcea","Travel Agency","N/A","Tulcea",45.179959,28.800895,0
1137,"Discover Danube Delta","Aleea Trifoiului 820100 Tulcea","Tourist Information","N/A","Tulcea",45.1667,28.79993,0
1138,"Serenity Danube Delta","Strada I 827195 Sfântu Gheorghe","Bar/Pub","N/A","Tulcea",44.896262,29.592481,0
